X,Y,Z
48,144,-200
66,134,-218
50,148,-210
52,150,-204
52,150,-192
52,154,-192
44,162,-208
46,140,-222
52,158,-206
50,152,-196
46,158,-192
54,150,-200
62,140,-204
58,142,-198
52,154,-204
52,152,-208
54,148,-194
64,156,-170
58,144,-184
58,148,-180
50,154,-182
50,154,-188
52,150,-198
60,150,-168
64,142,-186
44,148,-178
46,154,-190
56,156,-196
50,146,-200
58,132,-216
50,146,-210
52,150,-194
50,154,-192
52,154,-194
46,166,-184
44,164,-180
50,156,-184
48,154,-186
46,152,-196
54,152,-196
64,142,-176
60,140,-176
56,146,-198
56,150,-192
48,154,-192
44,162,-182
34,164,-188
48,154,-186
48,146,-186
54,152,-188
52,142,-196
64,134,-208
60,140,-212
50,152,-204
50,152,-182
52,154,-194
44,162,-204
42,148,-224
52,156,-210
50,150,-204
52,148,-208
52,152,-196
48,166,-184
48,166,-182
54,158,-188
50,158,-182
48,144,-186
56,140,-192
60,148,-168
64,142,-188
44,152,-186
50,158,-182
56,156,-186
54,142,-196
64,128,-202
60,140,-196
50,150,-198
48,152,-180
48,150,-200
50,152,-202
50,154,-196
56,148,-190
56,140,-192
50,166,-208
64,140,-180
64,134,-194
48,160,-180
62,140,-210
54,142,-212
54,146,-184
56,156,-208
50,156,-182
48,148,-196
52,150,-198
54,152,-186
52,150,-186
56,156,-194
56,150,-190
50,144,-190
44,164,-196
46,166,-184
58,144,-180
66,130,-200
38,168,-194
44,162,-184
64,142,-206
56,144,-212
50,162,-178
46,156,-176
56,154,-204
52,152,-178
50,150,-192
48,152,-202
48,152,-188
48,148,-192
56,146,-196
44,148,-192
44,162,-196
48,170,-186
64,136,-176
34,172,-194
42,168,-182
60,142,-212
48,156,-184
48,152,-198
52,150,-212
50,154,-184
50,152,-196
52,154,-198
52,150,-194
50,150,-192
60,146,-196
46,164,-202
46,170,-188
64,134,-176
56,130,-204
36,158,-196
54,160,-180
60,138,-208
52,154,-212
50,162,-190
50,158,-208
52,148,-182
50,152,-204
52,146,-196
48,152,-190
52,158,-192
54,146,-192
54,148,-192
48,150,-190
52,166,-202
60,154,-184
66,136,-170
46,140,-212
48,164,-200
64,142,-180
50,146,-206
56,152,-196
48,154,-186
50,152,-208
54,158,-186
50,148,-192
54,152,-192
48,150,-200
48,148,-192
44,158,-198
58,140,-172
66,132,-200
38,160,-182
56,136,-206
54,156,-206
58,154,-182
52,152,-206
50,158,-192
54,152,-182
54,150,-198
48,154,-188
52,150,-196
56,148,-196
54,142,-196
42,164,-200
66,132,-176
36,154,-212
50,162,-180
52,148,-206
52,152,-198
52,148,-178
54,152,-202
52,162,-182
52,152,-196
52,150,-206
48,154,-190
50,158,-188
56,146,-198
56,146,-194
48,144,-194
46,166,-194
60,158,-184
66,138,-178
46,158,-210
46,164,-198
60,142,-192
52,146,-210
54,158,-186
50,156,-180
50,148,-204
52,158,-184
52,152,-192
54,150,-200
50,156,-190
54,154,-194
58,152,-192
40,170,-200
64,132,-172
46,152,-172
34,166,-192
58,154,-172
62,134,-208
50,154,-184
52,146,-204
54,150,-182
50,152,-192
56,150,-186
54,152,-194
48,146,-198
46,160,-200
60,156,-184
38,154,-214
48,164,-196
58,142,-192
52,160,-206
50,160,-182
50,152,-190
44,158,-192
54,154,-200
46,154,-194
52,154,-194
52,154,-192
58,148,-194
44,166,-204
62,174,-180
64,134,-172
36,156,-210
42,166,-180
58,146,-206
56,144,-210
50,160,-188
46,158,-188
50,148,-206
54,156,-190
54,146,-186
52,148,-202
54,146,-196
50,150,-190
52,154,-196
50,150,-190
56,148,-194
42,164,-200
46,166,-184
60,132,-172
56,132,-214
40,164,-202
64,140,-192
48,160,-208
52,150,-204
52,156,-186
56,150,-202
50,152,-184
54,152,-194
48,154,-192
48,146,-204
42,168,-200
60,140,-176
40,168,-194
64,142,-180
52,146,-204
46,154,-184
48,156,-208
56,158,-186
52,148,-204
52,150,-192
48,154,-184
56,156,-192
54,146,-196
50,146,-196
60,168,-176
64,136,-176
42,158,-212
54,156,-180
62,140,-202
54,160,-214
54,152,-178
54,150,-202
48,152,-194
52,146,-182
52,152,-206
48,150,-200
48,154,-186
50,158,-194
52,150,-192
52,152,-190
50,162,-200
46,166,-200
62,148,-180
64,136,-172
36,160,-200
42,166,-176
56,138,-202
54,148,-212
50,158,-182
56,152,-194
48,154,-210
54,148,-186
50,152,-202
54,150,-198
52,156,-180
54,148,-192
54,146,-200
44,160,-192
54,128,-212
40,158,-202
56,152,-176
56,144,-212
50,158,-186
44,150,-194
54,158,-188
50,154,-198
50,150,-192
52,150,-202
56,150,-194
56,154,-194
56,148,-192
50,162,-200
48,166,-186
64,134,-170
56,130,-208
44,160,-196
52,148,-208
50,158,-186
46,154,-180
56,150,-200
52,152,-184
56,150,-192
52,154,-198
48,154,-188
44,154,-190
56,148,-194
54,146,-192
54,158,-200
46,166,-180
62,128,-170
56,130,-212
38,160,-202
64,142,-184
56,148,-208
52,162,-182
58,154,-200
56,146,-190
52,144,-196
46,164,-196
62,170,-182
62,140,-170
48,140,-210
42,166,-186
