X,Y,Z,FALL
10.18,-1.3,-2.26,0
10.18,-1.3,-2.26,0
10.18,-1.3,-2.26,0
10.25,-1.3,-2.26,0
10.25,-1.3,-2.26,0
10.25,-1.3,-2.26,0
10.25,-1.3,-2.26,0
10.25,-1.3,-2.26,0
10.25,-1.3,-2.26,0
10.25,-1.3,-2.26,0
10.25,-1.3,-2.26,0
10.33,-1.19,-2.41,0
10.33,-1.19,-2.41,0
10.33,-1.19,-2.41,0
10.33,-1.19,-2.41,0
10.33,-1.19,-2.41,0
10.33,-1.19,-2.41,0
10.33,-1.19,-2.41,0
10.33,-1.19,-2.41,0
10.33,-1.19,-2.41,0
10.33,-1.22,-2.26,0
10.33,-1.22,-2.26,0
10.33,-1.22,-2.26,0
10.33,-1.22,-2.26,0
10.33,-1.22,-2.26,0
10.33,-1.22,-2.26,0
10.33,-1.22,-2.26,0
10.33,-1.22,-2.26,0
10.33,-1.22,-2.26,0
10.33,-1.22,-2.33,0
10.33,-1.22,-2.33,0
10.33,-1.22,-2.33,0
10.33,-1.22,-2.33,0
10.33,-1.22,-2.33,0
10.33,-1.22,-2.33,0
10.33,-1.22,-2.33,0
10.33,-1.22,-2.33,0
10.33,-1.22,-2.33,0
10.29,-1.34,-2.33,0
10.29,-1.34,-2.33,0
10.29,-1.34,-2.33,0
10.29,-1.34,-2.33,0
10.29,-1.34,-2.33,0
10.29,-1.34,-2.33,0
10.29,-1.34,-2.33,0
10.29,-1.34,-2.33,0
10.25,-1.42,-2.3,0
10.25,-1.42,-2.3,0
10.25,-1.42,-2.3,0
10.25,-1.42,-2.3,0
10.25,-1.42,-2.3,0
10.25,-1.42,-2.3,0
10.25,-1.42,-2.3,0
10.25,-1.42,-2.3,0
10.25,-1.42,-2.3,0
10.18,-1.34,-2.3,0
10.18,-1.34,-2.3,0
10.18,-1.34,-2.3,0
10.18,-1.34,-2.3,0
10.18,-1.34,-2.3,0
10.18,-1.34,-2.3,0
10.18,-1.34,-2.3,0
10.18,-1.34,-2.3,0
10.18,-1.34,-2.3,0
10.14,-1.3,-2.3,0
10.14,-1.3,-2.3,0
10.14,-1.3,-2.3,0
10.14,-1.3,-2.3,0
10.14,-1.3,-2.3,0
10.14,-1.3,-2.3,0
10.14,-1.3,-2.3,0
10.14,-1.3,-2.3,0
10.14,-1.3,-2.3,0
10.1,-1.34,-2.37,0
10.1,-1.34,-2.37,0
10.1,-1.34,-2.37,0
10.1,-1.34,-2.37,0
10.1,-1.34,-2.37,0
10.1,-1.34,-2.37,0
10.1,-1.34,-2.37,0
10.1,-1.34,-2.37,0
10.06,-1.3,-2.3,0
10.06,-1.3,-2.3,0
10.06,-1.3,-2.3,0
10.06,-1.3,-2.3,0
10.06,-1.3,-2.3,0
10.06,-1.3,-2.3,0
10.06,-1.3,-2.3,0
10.06,-1.3,-2.3,0
10.06,-1.3,-2.3,0
10.1,-1.26,-2.22,0
10.1,-1.26,-2.22,0
10.1,-1.26,-2.22,0
10.1,-1.26,-2.22,0
10.1,-1.26,-2.22,0
10.1,-1.26,-2.22,0
10.1,-1.26,-2.22,0
10.1,-1.26,-2.22,0
10.1,-1.26,-2.22,0
10.1,-1.22,-2.26,0
10.1,-1.22,-2.26,0
10.1,-1.22,-2.26,0
10.1,-1.22,-2.26,0
10.1,-1.22,-2.26,0
10.1,-1.22,-2.26,0
10.1,-1.22,-2.26,0
10.1,-1.22,-2.26,0
10.1,-1.22,-2.26,0
10.14,-1.22,-2.22,0
10.14,-1.22,-2.22,0
10.14,-1.22,-2.22,0
10.14,-1.22,-2.22,0
10.14,-1.22,-2.22,0
10.14,-1.22,-2.22,0
10.14,-1.22,-2.22,0
10.14,-1.22,-2.22,0
10.1,-1.22,-2.3,0
10.1,-1.22,-2.3,0
10.1,-1.22,-2.3,0
10.1,-1.22,-2.3,0
10.1,-1.22,-2.3,0
10.1,-1.22,-2.3,0
10.1,-1.22,-2.3,0
10.1,-1.22,-2.3,0
10.1,-1.22,-2.3,0
10.14,-1.22,-2.3,0
10.14,-1.22,-2.3,0
10.14,-1.22,-2.3,0
10.14,-1.22,-2.3,0
10.14,-1.22,-2.3,0
10.14,-1.22,-2.3,0
10.14,-1.22,-2.3,0
10.14,-1.22,-2.3,0
10.14,-1.22,-2.3,0
10.18,-1.19,-2.26,0
10.18,-1.19,-2.26,0
10.18,-1.19,-2.26,0
10.18,-1.19,-2.26,0
10.18,-1.19,-2.26,0
10.18,-1.19,-2.26,0
10.18,-1.19,-2.26,0
10.18,-1.19,-2.26,0
10.18,-1.19,-2.26,0
10.14,-1.26,-2.26,0
10.14,-1.26,-2.26,0
10.14,-1.26,-2.26,0
10.14,-1.26,-2.26,0
10.14,-1.26,-2.26,0
10.14,-1.26,-2.26,0
10.14,-1.26,-2.26,0
10.14,-1.26,-2.26,0
10.18,-1.42,-2.26,0
10.18,-1.42,-2.26,0
10.18,-1.42,-2.26,0
10.18,-1.42,-2.26,0
10.18,-1.42,-2.26,0
10.18,-1.42,-2.26,0
10.18,-1.42,-2.26,0
10.18,-1.42,-2.26,0
10.18,-1.42,-2.26,0
10.18,-1.45,-2.3,0
10.18,-1.45,-2.3,0
10.18,-1.45,-2.3,0
10.18,-1.45,-2.3,0
10.18,-1.45,-2.3,0
10.18,-1.45,-2.3,0
10.18,-1.45,-2.3,0
10.18,-1.45,-2.3,0
10.18,-1.45,-2.3,0
10.1,-1.53,-2.22,0
10.1,-1.53,-2.22,0
10.1,-1.53,-2.22,0
10.1,-1.53,-2.22,0
10.1,-1.53,-2.22,0
10.1,-1.53,-2.22,0
10.1,-1.53,-2.22,0
10.1,-1.53,-2.22,0
10.1,-1.53,-2.22,0
10.1,-1.38,-2.22,0
10.1,-1.38,-2.22,0
10.1,-1.38,-2.22,0
10.1,-1.38,-2.22,0
10.1,-1.38,-2.22,0
10.1,-1.38,-2.22,0
10.1,-1.38,-2.22,0
10.1,-1.38,-2.22,0
10.1,-1.38,-2.22,0
10.02,-1.34,-2.18,0
10.02,-1.34,-2.18,0
10.02,-1.34,-2.18,0
10.02,-1.34,-2.18,0
10.02,-1.34,-2.18,0
10.02,-1.34,-2.18,0
10.02,-1.34,-2.18,0
10.02,-1.34,-2.18,0
10.1,-1.3,-2.26,0
10.1,-1.3,-2.26,0
10.1,-1.3,-2.26,0
10.1,-1.3,-2.26,0
10.1,-1.3,-2.26,0
10.1,-1.3,-2.26,0
10.1,-1.3,-2.26,0
10.1,-1.3,-2.26,0
10.1,-1.3,-2.26,0
10.14,-1.26,-2.3,0
10.14,-1.26,-2.3,0
10.14,-1.26,-2.3,0
10.14,-1.26,-2.3,0
10.14,-1.26,-2.3,0
10.14,-1.26,-2.3,0
10.14,-1.26,-2.3,0
10.14,-1.26,-2.3,0
10.14,-1.26,-2.3,0
10.14,-1.38,-2.3,0
10.14,-1.38,-2.3,0
10.14,-1.38,-2.3,0
10.14,-1.38,-2.3,0
10.14,-1.38,-2.3,0
10.14,-1.38,-2.3,0
10.14,-1.38,-2.3,0
10.14,-1.38,-2.3,0
10.14,-1.38,-2.3,0
10.18,-1.38,-2.3,0
10.18,-1.38,-2.3,0
10.18,-1.38,-2.3,0
10.18,-1.38,-2.3,0
10.18,-1.38,-2.3,0
10.18,-1.38,-2.3,0
10.18,-1.38,-2.3,0
10.18,-1.38,-2.3,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.18,-1.3,-2.26,0
10.18,-1.3,-2.26,0
10.18,-1.3,-2.26,0
10.18,-1.3,-2.26,0
10.18,-1.3,-2.26,0
10.18,-1.3,-2.26,0
10.18,-1.3,-2.26,0
10.18,-1.3,-2.26,0
10.18,-1.3,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.14,-1.34,-2.26,0
10.1,-1.38,-2.37,0
10.1,-1.38,-2.37,0
10.1,-1.38,-2.37,0
10.1,-1.38,-2.37,0
10.1,-1.38,-2.37,0
10.1,-1.38,-2.37,0
10.1,-1.38,-2.37,0
10.1,-1.38,-2.37,0
10.14,-1.3,-2.37,0
10.14,-1.3,-2.37,0
10.14,-1.3,-2.37,0
10.14,-1.3,-2.37,0
10.14,-1.3,-2.37,0
10.14,-1.3,-2.37,0
10.14,-1.3,-2.37,0
10.14,-1.3,-2.37,0
10.14,-1.3,-2.37,0
10.22,-1.19,-2.33,0
10.22,-1.19,-2.33,0
10.22,-1.19,-2.33,0
10.22,-1.19,-2.33,0
10.22,-1.19,-2.33,0
10.22,-1.19,-2.33,0
10.22,-1.19,-2.33,0
10.22,-1.19,-2.33,0
10.22,-1.19,-2.33,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.19,-2.3,0
10.22,-1.34,-2.3,0
10.22,-1.34,-2.3,0
10.22,-1.34,-2.3,0
10.22,-1.34,-2.3,0
10.22,-1.34,-2.3,0
10.22,-1.34,-2.3,0
10.22,-1.34,-2.3,0
10.22,-1.34,-2.3,0
10.22,-1.34,-2.3,0
10.22,-1.38,-2.33,0
10.22,-1.38,-2.33,0
10.22,-1.38,-2.33,0
10.22,-1.38,-2.33,0
10.22,-1.38,-2.33,0
10.22,-1.38,-2.33,0
10.22,-1.38,-2.33,0
10.22,-1.38,-2.33,0
10.22,-1.38,-2.33,0
10.22,-1.26,-2.33,0
10.22,-1.26,-2.33,0
10.22,-1.26,-2.33,0
10.22,-1.26,-2.33,0
10.22,-1.26,-2.33,0
10.22,-1.26,-2.33,0
