X,Y,Z
324943,62,140,-202
324945,66,130,-202
324947,64,140,-206
324949,66,134,-194
324951,66,136,-200
324953,64,134,-198
324955,62,136,-204
324957,60,132,-204
324959,66,128,-202
324961,60,138,-198
324963,74,132,-206
324965,68,130,-206
324967,62,134,-196
324969,58,138,-202
324971,62,136,-192
324973,64,134,-210
324975,64,136,-208
4117779882,4,72,132
324978,62,136,-200
324980,64,134,-196
324982,62,138,-202
324984,62,136,-200
324986,64,132,-200
324988,64,132,-202
324990,62,136,-206
324992,64,134,-200
324994,64,134,-200
324996,60,134,-204
324998,64,130,-200
325000,64,136,-200
325002,64,130,-198
325004,62,136,-206
325006,64,134,-204
325008,52,136,-198
325010,62,134,-194
325012,64,132,-206
325014,64,138,-202
325016,66,130,-202
325018,62,136,-202
325020,64,132,-204
325022,68,138,-196
325024,64,132,-204
325026,64,142,-206
325028,64,136,-204
325030,62,134,-204
325032,60,136,-200
325034,62,134,-202
325036,56,138,-200
325038,64,138,-200
325040,64,138,-200
325042,70,128,-204
325044,64,132,-208
325046,64,132,-194
325048,64,128,-198
325050,64,130,-196
325052,60,134,-206
325054,62,132,-206
325056,62,136,-208
325058,64,136,-192
325060,68,134,-200
325062,64,128,-202
325064,64,138,-196
325066,62,130,-208
325068,62,130,-196
325070,70,132,-202
325072,64,134,-202
325074,54,138,-202
325076,64,134,-192
325078,64,130,-202
325080,66,134,-204
325082,70,136,-202
325084,60,136,-200
325086,64,132,-194
325088,72,126,-198
325090,64,132,-194
325092,62,138,-210
325094,64,132,-200
325096,68,132,-198
325098,64,132,-202
325100,64,120,-208
325102,62,136,-200
325104,64,138,-198
325106,64,138,-196
325108,68,132,-202
325110,62,132,-200
325112,64,134,-200
325114,66,130,-200
325116,54,136,-202
325118,56,136,-210
325120,60,132,-204
325122,70,130,-202
325124,60,136,-210
325126,60,138,-206
325128,60,132,-204
325130,60,134,-204
325132,64,134,-202
325134,72,132,-198
325136,64,134,-204
325138,64,134,-216
325140,64,128,-202
325142,64,134,-194
325144,64,136,-198
325146,62,132,-208
325148,68,132,-202
325150,64,136,-194
325152,64,130,-200
325154,54,138,-204
325156,64,130,-202
325158,68,134,-202
325160,64,134,-196
325162,64,130,-206
325164,64,134,-200
325166,52,136,-202
325168,64,132,-208
325170,60,136,-200
325172,64,140,-202
325174,64,138,-212
325176,62,132,-202
325178,64,128,-204
325180,64,134,-204
325182,64,132,-204
325184,76,128,-200
325186,64,136,-204
325188,60,136,-210
325190,58,134,-200
325192,64,130,-194
325194,64,128,-202
325196,64,134,-206
325198,64,132,-206
325200,64,132,-196
325202,64,132,-202
325204,56,140,-200
325206,66,134,-198
325208,64,138,-206
325210,60,134,-202
325212,64,130,-212
325214,62,128,-200
325216,50,136,-200
325218,64,130,-192
325220,64,132,-200
325222,66,130,-202
325224,62,134,-214
325226,64,134,-202
325228,64,128,-198
325230,64,128,-202
325232,64,132,-200
325234,64,140,-194
325236,62,134,-200
325238,64,134,-214
4135015850,4,62,134
325241,62,128,-196
325243,64,132,-202
325245,64,134,-208
325247,62,142,-200
325249,64,136,-202
325251,62,138,-212
325253,62,128,-206
325255,62,134,-192
325257,62,130,-198
325259,62,134,-200
325261,60,132,-212
325263,64,138,-196
325265,62,134,-202
325267,50,132,-200
325269,62,128,-206
325271,64,142,-206
325273,62,132,-202
325275,64,134,-206
325277,64,132,-206
325279,62,138,-198
325281,62,134,-186
325283,66,130,-202
325285,68,128,-204
325287,64,132,-214
325289,60,138,-202
325291,64,130,-202
325293,60,134,-200
325295,62,132,-210
325297,64,142,-208
325299,68,128,-196
325301,62,138,-214
325303,62,130,-200
325305,64,134,-200
325307,66,134,-196
325309,66,134,-208
325311,64,134,-202
325313,62,132,-222
325315,64,130,-208
325317,64,136,-200
325319,58,136,-202
325321,64,136,-202
325323,64,136,-206
325325,66,134,-196
325327,64,132,-200
325329,64,128,-202
325331,56,136,-188
325333,66,132,-196
325335,64,134,-200
325337,72,136,-202
325339,60,130,-204
325341,64,136,-200
325343,58,134,-200
325345,62,136,-202
325347,64,138,-206
325349,64,130,-202
325351,64,130,-204
325353,64,134,-196
325355,62,132,-196
325357,64,134,-202
325359,62,134,-202
325361,64,138,-200
325363,72,130,-200
325365,66,132,-200
325367,64,134,-198
325369,64,128,-206
325371,62,136,-200
325373,66,130,-198
325375,66,134,-204
325377,64,134,-202
325379,64,138,-212
325381,64,132,-196
325383,64,128,-206
325385,64,134,-202
325387,64,132,-208
325389,64,130,-200
325391,64,132,-200
325393,64,130,-202
325395,66,130,-200
325397,62,136,-204
325399,64,130,-200
325401,64,134,-200
325403,64,140,-202
325405,64,140,-194
325407,66,128,-210
325409,66,122,-200
325411,70,130,-192
325413,66,132,-202
325415,64,128,-198
325417,70,130,-204
325419,64,132,-204
325421,64,134,-206
325423,64,128,-208
325425,68,132,-200
325427,60,132,-204
325429,68,136,-202
325431,64,130,-194
325433,62,132,-212
325435,66,128,-202
325437,64,138,-204
325439,60,136,-204
325441,62,132,-204
325443,62,134,-202
325445,58,134,-210
325447,62,134,-200
325449,64,130,-200
325451,64,136,-202
325453,62,140,-204
325455,64,142,-196
325457,70,130,-198
325459,64,130,-212
325461,64,130,-204
325463,62,138,-196
325465,64,136,-202
325467,64,138,-204
325469,64,128,-196
325471,56,136,-224
325473,64,134,-210
325475,64,128,-202
325477,66,132,-196
325479,70,132,-204
325481,68,134,-192
325483,68,134,-200
325485,64,132,-198
325487,64,124,-204
325489,58,132,-200
325491,66,132,-196
325493,64,132,-202
325495,70,132,-196
4151858602,4,70,132
325498,64,140,-198
325500,64,134,-206
325502,60,130,-200
325504,64,132,-196
325506,60,140,-202
325508,70,132,-204
325510,64,130,-200
325512,64,132,-212
325514,66,128,-202
325516,64,134,-202
325518,64,132,-198
325520,62,134,-210
325522,64,134,-202
325524,64,134,-202
325526,68,130,-206
325528,62,132,-200
325530,64,132,-202
325532,62,142,-206
325534,60,134,-200
325536,64,134,-204
325538,68,138,-204
325540,52,142,-206
325542,66,132,-192
325544,64,134,-198
325546,70,136,-200
325548,64,130,-208
325550,60,134,-200
325552,64,128,-200
325554,64,134,-196
325556,64,138,-202
325558,70,132,-198
325560,64,134,-204
325562,62,132,-194
325564,60,134,-204
325566,64,130,-198
325568,62,134,-202
325570,64,136,-204
325572,64,132,-210
325574,70,134,-200
325576,64,134,-202
325578,62,134,-202
325580,62,134,-198
325582,64,142,-200
325584,64,134,-198
325586,64,130,-208
325588,70,130,-198
325590,58,136,-202
325592,62,134,-192
325594,64,132,-202
325596,68,132,-204
325598,64,128,-208
325600,64,138,-206
325602,64,128,-202
325604,66,128,-192
325606,64,130,-204
325608,68,134,-208
325610,64,130,-202
325612,64,128,-194
325614,64,128,-198
325616,64,132,-196
325618,64,128,-202
325620,64,136,-200
325622,56,136,-208
325624,64,138,-204
325626,64,130,-200
325628,60,138,-204
325630,64,130,-204
325632,64,138,-204
325634,64,134,-200
325636,62,136,-210
325638,66,122,-200
325640,64,132,-194
325642,64,134,-208
325644,64,132,-198
325646,66,132,-202
325648,64,132,-200
325650,66,132,-204
325652,58,132,-202
325654,68,134,-200
325656,64,136,-202
325658,68,130,-206
325660,62,134,-200
325662,64,132,-200
325664,58,134,-208
325666,66,132,-204
325668,62,134,-198
325670,64,136,-206
325672,64,136,-200
325674,66,128,-202
325676,60,142,-190
325678,64,132,-206
325680,60,136,-204
325682,64,128,-208
325684,62,130,-204
325686,66,134,-202
325688,62,136,-204
325690,66,132,-204
325692,64,140,-206
325694,62,134,-202
325696,62,134,-212
325698,68,128,-206
325700,62,138,-208
325702,64,134,-204
325704,62,136,-204
325706,62,136,-202
325708,62,140,-200
325710,66,128,-200
325712,56,136,-202
325714,62,134,-198
325716,70,130,-200
325718,64,134,-200
325720,64,134,-206
325722,62,134,-198
325724,64,134,-200
325726,62,136,-202
325728,64,140,-204
325730,70,134,-196
325732,66,130,-204
325734,64,130,-200
325736,64,130,-198
325738,60,130,-200
325740,64,134,-200
325742,72,134,-204
4168045994,4,62,136
325745,64,134,-202
325747,64,126,-200
325749,60,134,-204
325751,62,134,-204
325753,66,134,-200
325755,66,136,-202
325757,64,130,-196
325759,64,128,-204
325761,64,132,-198
325763,64,136,-204
325765,64,130,-204
325767,68,130,-206
325769,64,134,-198
325771,62,130,-204
325773,60,136,-200
325775,68,132,-200
325777,64,130,-200
325779,74,130,-202
325781,62,130,-208
325783,64,134,-198
325785,56,136,-196
325787,64,134,-196
325789,64,134,-208
325791,62,138,-202
325793,58,134,-204
325795,66,132,-200
325797,64,136,-198
325799,58,138,-198
325801,64,134,-200
325803,64,134,-202
325805,60,140,-198
325807,64,132,-204
325809,64,138,-198
325811,62,128,-202
325813,64,132,-192
325815,68,134,-194
325817,66,140,-198
325819,66,132,-208
325821,64,138,-194
325823,62,134,-200
325825,56,134,-202
325827,64,130,-200
325829,64,140,-206
325831,64,136,-198
325833,62,132,-206
325835,62,128,-208
325837,62,136,-200
325839,62,136,-206
325841,64,132,-210
325843,64,132,-200
325845,62,138,-216
325847,64,138,-196
325849,62,128,-196
325851,66,128,-200
325853,66,136,-202
325855,62,132,-198
325857,64,132,-208
325859,62,132,-208
325861,64,128,-208
325863,62,130,-200
325865,62,136,-204
325867,64,138,-202
325869,60,134,-204
325871,64,140,-198
325873,66,136,-198
325875,52,134,-200
325877,64,140,-196
325879,66,144,-202
325881,64,134,-202
325883,64,130,-212
325885,56,132,-204
325887,66,130,-208
325889,62,134,-188
325891,62,132,-204
325893,64,134,-200
325895,62,138,-216
325897,60,138,-204
325899,64,130,-202
325901,64,134,-206
325903,64,128,-198
325905,62,146,-194
325907,62,136,-204
325909,54,134,-216
325911,62,128,-200
325913,64,132,-200
325915,66,132,-202
325917,74,138,-202
325919,64,132,-198
325921,58,140,-220
325923,66,130,-212
325925,66,122,-202
325927,58,134,-200
325929,64,134,-202
325931,64,134,-202
325933,64,130,-198
325935,64,132,-196
325937,64,128,-204
325939,64,128,-204
325941,66,132,-202
325943,64,134,-204
325945,68,138,-202
325947,64,132,-198
325949,66,132,-202
325951,60,132,-202
325953,64,136,-202
325955,62,138,-200
325957,62,136,-204
325959,68,134,-204
325961,62,132,-198
325963,64,132,-200
325965,56,136,-202
325967,72,132,-194
325969,62,138,-196
325971,72,130,-200
325973,60,134,-208
325975,68,134,-198
325977,56,138,-202
325979,64,134,-198
325981,62,136,-202
325983,64,134,-200
325985,64,132,-208
325987,66,134,-198
325989,64,128,-200
325991,58,134,-200
325993,64,138,-202
325995,64,138,-204
325997,68,134,-204
325999,62,128,-206
326001,60,132,-200
326003,64,130,-198
326005,58,138,-204
326007,64,134,-204
326009,68,134,-200
326011,66,134,-200
326013,60,138,-200
326015,66,136,-194
326017,62,134,-204
326019,64,132,-198
326021,62,138,-220
326023,64,134,-204
326025,64,126,-198
326027,64,132,-200
326029,64,136,-208
326031,64,132,-200
326033,68,134,-198
326035,64,138,-198
326037,64,120,-202
326039,62,132,-196
326041,64,136,-200
326043,64,138,-204
326045,70,132,-200
326047,58,134,-200
326049,64,132,-200
326051,58,136,-196
326053,64,136,-200
326055,64,146,-198
326057,64,134,-200
326059,64,134,-210
326061,62,126,-204
326063,62,140,-204
326066,62,134,-208
326068,64,136,-198
326070,64,136,-200
326072,64,134,-200
326074,64,128,-202
326076,64,138,-192
326078,64,134,-200
326080,58,136,-202
326082,66,132,-200
326084,64,136,-196
326086,64,132,-198
326088,64,126,-206
326090,64,128,-200
326092,64,144,-200
326094,56,136,-198
326096,70,134,-204
326098,62,136,-196
326100,64,128,-200
326102,60,134,-200
326104,64,134,-194
326106,62,136,-204
326108,64,134,-202
326110,64,134,-200
326112,64,132,-198
326114,60,134,-202
326116,68,136,-198
326118,62,134,-196
326120,64,130,-204
326122,62,134,-208
326124,62,136,-196
326126,64,134,-196
326128,54,136,-198
326130,62,136,-198
326132,66,136,-202
326134,62,132,-198
326136,62,134,-208
326138,68,134,-196
326140,56,142,-202
326142,68,132,-196
326144,62,134,-206
326146,64,136,-204
326148,68,130,-210
326150,64,132,-200
326152,64,128,-196
326154,60,136,-202
326156,64,136,-200
326158,64,140,-204
326160,62,136,-202
326162,60,134,-208
326164,60,128,-198
326166,64,134,-198
326168,66,130,-184
326170,64,130,-204
326172,66,134,-206
326174,64,134,-216
326176,64,134,-196
326178,64,128,-202
326180,66,132,-198
326182,64,138,-204
326184,68,130,-200
326186,62,134,-204
326188,66,134,-202
326190,58,136,-196
326192,66,132,-200
326194,64,136,-208
326196,64,140,-196
326198,64,128,-210
326200,64,138,-206
326202,64,130,-204
326204,56,128,-198
326206,64,130,-202
326208,64,140,-206
326210,60,136,-198
326212,64,128,-208
326214,64,128,-200
326216,62,136,-204
326218,66,134,-188
326220,64,138,-206
326222,64,128,-202
326224,64,134,-212
326226,60,134,-194
326228,66,124,-196
326230,64,136,-200
326232,64,134,-200
326234,62,130,-200
326236,64,134,-196
326238,64,136,-196
326240,62,136,-200
326242,64,134,-190
326244,64,134,-198
326246,66,134,-198
326248,58,136,-206
326250,64,136,-208
326252,60,132,-202
326254,58,136,-200
326256,64,132,-202
326258,60,144,-196
326260,68,132,-202
326262,64,132,-210
326264,62,128,-200
326266,64,134,-208
326268,70,128,-188
326270,64,134,-200
326272,64,130,-206
326274,60,140,-208
326276,64,134,-200
326278,62,128,-198
326280,64,128,-200
326282,62,140,-198
326284,62,132,-198
326286,62,130,-208
326288,64,132,-194
326290,56,136,-202
326292,64,134,-192
326294,68,134,-200
326296,66,136,-206
326298,62,130,-212
326300,66,136,-198
326302,60,132,-206
326304,54,136,-208
326306,66,130,-202
326308,64,140,-204
326310,64,132,-196
326312,62,138,-210
326315,70,128,-194
326317,60,134,-208
326319,64,130,-196
326321,64,136,-202
326323,64,132,-198
326325,60,134,-212
326327,62,136,-200
326329,64,136,-194
326331,64,134,-206
326333,62,128,-204
326335,64,134,-200
326337,66,130,-208
326339,64,134,-198
326341,66,130,-206
326343,62,132,-204
326345,64,138,-204
326347,64,132,-194
326349,64,134,-210
326351,64,128,-202
326353,68,128,-192
326355,62,140,-206
326357,64,134,-198
326359,68,134,-200
326361,64,134,-200
326363,66,134,-198
326365,58,132,-198
