czas [s],X,Y,Z
0.0,0,-10,244
0.0006250000001273293,-8,2,256
0.0012500000002546585,-8,10,264
0.0018749999999272404,-6,0,254
0.0025000000000545697,-26,4,248
0.003125000000181899,-4,0,258
0.003750000000309228,4,0,282
0.00437499999998181,-6,0,264
0.005000000000109139,-16,8,270
0.005625000000236469,-10,0,248
0.0062499999999090505,-6,-6,248
0.00687500000003638,-8,0,252
0.007500000000163709,-6,0,256
0.008125000000291038,0,-18,238
0.00874999999996362,-6,-4,260
0.00937500000009095,-22,14,248
0.010000000000218279,-12,0,254
0.010625000000345608,8,-20,226
0.01125000000001819,-6,0,256
0.01187500000014552,-14,2,266
0.012500000000272848,-12,0,256
0.01312499999994543,0,-4,248
0.01375000000007276,-14,-4,236
0.014375000000200089,-4,0,262
0.015000000000327418,-10,12,248
0.015625,-10,0,256
0.01625000000012733,2,-16,264
0.01687500000025466,0,0,254
0.01749999999992724,-16,8,248
0.01812500000005457,-8,-4,266
0.0187500000001819,-6,-4,248
0.019375000000309228,-8,-4,244
0.01999999999998181,-8,0,262
0.02062500000010914,-12,6,260
0.02125000000023647,-4,0,256
0.02187499999990905,8,-16,256
0.02250000000003638,-8,-4,252
0.02312500000016371,-18,14,266
0.02375000000029104,-10,0,256
0.02437499999996362,-4,0,250
0.02500000000009095,-10,-8,254
0.02562500000021828,-6,2,256
0.026250000000345608,-14,12,266
0.02687500000001819,-4,0,258
0.02750000000014552,8,-18,234
0.02812500000027285,-6,0,254
0.02874999999994543,-14,6,268
0.02937500000007276,-10,0,252
0.03000000000020009,-10,-4,250
0.030625000000327418,-6,2,252
0.03125,-6,4,252
0.03187500000012733,-16,4,264
0.03250000000025466,-6,0,254
0.03312499999992724,-22,-10,248
0.03375000000005457,-4,-4,262
0.0343750000001819,2,-20,276
0.03500000000030923,-6,2,256
0.03562499999998181,-16,6,264
0.03625000000010914,-6,-4,256
0.03687500000023647,-8,-10,248
0.03749999999990905,-12,10,266
0.03812500000003638,-4,4,256
0.03875000000016371,-12,-4,250
0.03937500000029104,-6,2,252
0.03999999999996362,-16,10,272
0.04062500000009095,-8,0,256
0.04125000000021828,0,0,238
0.04187500000034561,-6,0,258
0.04250000000001819,6,-18,278
0.04312500000014552,-8,-2,252
0.04375000000027285,-14,6,242
0.04437499999994543,-6,0,242
0.04500000000007276,-12,-8,248
0.04562500000020009,-6,2,248
0.04625000000032742,-8,0,258
0.046875,-12,4,270
0.04750000000012733,-4,0,256
0.04812500000025466,-18,-14,240
0.04874999999992724,-4,0,258
0.04937500000005457,2,6,280
0.0500000000001819,-10,0,248
0.05062500000030923,-8,14,246
0.05124999999998181,-8,0,266
0.05187500000010914,-6,0,256
0.05250000000023647,0,-12,244
0.05312499999990905,-8,0,262
0.05375000000003638,-22,4,250
0.05437500000016371,-4,0,258
0.05500000000029104,2,-14,270
0.05562499999996362,-8,0,256
0.05625000000009095,-12,6,244
0.05687500000021828,-12,0,258
0.05750000000034561,-4,0,256
0.05812500000001819,-10,-8,256
0.05875000000014552,-8,0,252
0.05937500000027285,-12,2,280
0.05999999999994543,-4,2,254
0.06062500000007276,4,-6,230
0.06125000000020009,-12,0,262
0.06187500000032742,2,6,264
0.0625,-8,-4,244
0.06312500000012733,-8,0,250
0.06375000000025466,-6,0,254
0.06437499999992724,-8,2,254
0.06500000000005457,6,-10,256
0.0656250000001819,-8,0,254
0.06625000000030923,-22,-8,240
0.06687499999998181,-10,0,256
0.06750000000010914,6,2,270
0.06812500000023647,-14,0,246
0.06874999999990905,-12,8,246
0.06937500000003638,-8,-4,256
0.07000000000016371,0,-10,254
0.07062500000029104,-10,-6,250
0.07124999999996362,-8,0,254
0.07187500000009095,-6,-8,272
0.07250000000021828,-10,0,268
0.07312500000034561,-18,6,246
0.07375000000001819,-6,0,254
0.07437500000014552,4,-12,238
0.07500000000027285,-8,0,270
0.07562499999994543,2,12,270
0.07625000000007276,-12,0,236
0.07687500000020009,-6,-8,244
0.07750000000032742,-8,0,266
0.078125,0,-6,252
0.07875000000012733,-10,4,252
0.07937500000025466,-6,0,254
0.07999999999992724,-14,0,262
0.08062500000005457,-8,0,252
0.0812500000001819,8,-18,240
0.08187500000030923,0,2,254
0.08249999999998181,6,-14,280
0.08312500000010914,-6,0,252
0.08375000000023647,-12,8,242
0.08437499999990905,-6,0,242
0.08500000000003638,-14,-4,254
0.08562500000016371,-6,0,256
0.08625000000029104,-4,0,258
0.08687499999996362,-6,-10,238
0.08750000000009095,-6,0,260
0.08812500000021828,-12,2,276
0.08875000000034561,-8,0,254
0.08937500000001819,0,-6,232
0.09000000000014552,-4,-8,250
0.09062500000027285,0,-10,282
0.09124999999994543,-10,0,254
0.09187500000007276,-12,2,250
0.09250000000020009,-8,-6,262
0.09312500000032742,-6,-4,254
0.09375,-6,4,254
0.09437500000012733,-12,0,254
0.09500000000025466,-4,-12,272
0.09562499999992724,-12,0,256
0.09625000000005457,-22,-10,248
0.0968750000001819,-6,0,266
0.09750000000030923,4,-18,284
0.09812499999998181,-6,0,244
0.09875000000010914,-14,14,248
0.09937500000023647,-8,0,272
0.09999999999990905,-4,0,258
0.10062500000003638,-12,0,236
0.10125000000016371,-6,-4,256
0.10187500000029104,-22,16,244
0.10249999999996362,-8,0,254
0.10312500000009095,6,-14,272
0.10375000000021828,-8,0,250
0.10437500000034561,-12,10,266
0.10500000000001819,-8,0,260
0.10562500000014552,0,-6,254
0.10625000000027285,-12,-6,252
0.10687499999994543,-6,2,256
0.10750000000007276,-16,0,274
0.10812500000020009,-10,0,254
0.10875000000032742,0,0,230
0.109375,-8,6,262
0.11000000000012733,-10,8,270
0.11062500000025466,-10,2,238
0.11124999999992724,-8,-12,254
0.11187500000005457,-4,0,254
0.1125000000001819,-6,4,256
0.11312500000030923,0,-8,266
0.11374999999998181,-6,0,254
0.11437500000010914,0,0,236
0.11500000000023647,-6,0,256
0.11562499999990905,0,12,268
0.11625000000003638,-10,-4,246
0.11687500000016371,-8,-6,246
0.11750000000029104,-10,2,252
0.11812499999996362,0,0,250
0.11875000000009095,0,-16,240
0.11937500000021828,-6,0,260
0.12000000000034561,-24,0,278
0.12062500000001819,-8,0,254
0.12125000000014552,0,-14,234
0.12187500000027285,-10,0,264
0.12249999999994543,0,4,280
0.12312500000007276,-10,0,242
0.12375000000020009,0,-10,250
0.12437500000032742,-8,0,254
0.125,-6,-4,254
0.12562500000012733,-10,-8,250
0.12625000000025466,-10,8,254
0.12687499999992724,0,-16,256
0.12750000000005457,0,0,248
0.1281250000001819,-22,14,236
0.12875000000030923,-4,0,250
0.1293749999999818,0,-16,270
0.13000000000010914,-4,0,262
0.13062500000023647,0,14,268
0.13124999999990905,-8,2,246
0.13187500000003638,-12,8,244
0.1325000000001637,-12,4,264
0.13312500000029104,-4,0,256
0.13374999999996362,-6,2,248
0.13437500000009095,-14,0,250
0.13500000000021828,-14,0,268
0.1356250000003456,-12,0,250
0.1362500000000182,0,-16,258
0.13687500000014552,-8,0,250
0.13750000000027285,-16,8,262
0.13812499999994543,-12,0,266
0.13875000000007276,0,0,250
0.1393750000002001,-14,-4,242
0.14000000000032742,-6,0,262
0.140625,-12,10,244
0.14125000000012733,-6,0,256
0.14187500000025466,-22,-6,230
0.14249999999992724,-4,0,266
0.14312500000005457,0,16,270
0.1437500000001819,-10,2,246
0.14437500000030923,-12,-8,250
0.1449999999999818,-6,0,250
0.14562500000010914,-10,2,254
0.14625000000023647,-6,-14,270
0.14687499999990905,-8,0,250
0.14750000000003638,-26,-12,230
0.1481250000001637,-4,0,268
0.14875000000029104,6,16,274
0.14937499999996362,-10,0,252
0.15000000000009095,-6,-12,252
0.15062500000021828,-4,0,266
0.1512500000003456,0,0,256
0.1518750000000182,2,-12,238
0.15250000000014552,-6,0,256
0.15312500000027285,-16,-14,246
0.15374999999994543,-6,0,266
0.15437500000007276,0,10,278
0.1550000000002001,-8,0,240
0.15562500000032742,-12,-4,250
0.15625,-8,0,258
0.15687500000012733,-8,0,258
0.15750000000025466,2,-10,260
0.15812499999992724,-8,0,250
0.15875000000005457,-16,-8,246
0.1593750000001819,-10,0,264
0.16000000000030923,2,10,278
0.1606249999999818,-10,0,246
0.16125000000010914,-8,-10,248
0.16187500000023647,-4,0,260
0.16249999999990905,-2,0,256
0.16312500000003638,-4,-10,238
0.1637500000001637,-4,0,258
0.16437500000029104,-12,6,272
0.16499999999996362,0,0,254
0.16562500000009095,0,-8,242
0.16625000000021828,-4,-8,266
0.1668750000003456,0,0,282
0.1675000000000182,-8,0,250
0.16812500000014552,2,12,268
0.16875000000027285,-8,0,244
0.16937499999994543,-10,-8,248
0.17000000000007276,-8,-6,264
0.1706250000002001,0,-4,256
0.17125000000032742,-8,-6,240
0.171875,-10,0,254
0.17250000000012733,2,-6,258
0.17312500000025466,-4,0,260
0.17374999999992724,-12,10,266
0.17437500000005457,-8,0,256
0.1750000000001819,8,-22,240
0.17562500000030923,-6,0,256
0.1762499999999818,2,10,274
0.17687500000010914,-8,0,256
0.17750000000023647,-18,12,262
0.17812499999990905,-12,0,252
0.17875000000003638,-8,-10,248
0.1793750000001637,-6,0,264
0.18000000000029104,-4,0,256
0.18062499999996362,0,-12,262
0.18125000000009095,-8,0,260
0.18187500000021828,-10,6,268
0.1825000000003456,-8,0,256
0.1831250000000182,-20,-8,236
0.18375000000014552,-8,0,270
0.18437500000027285,2,16,272
0.18499999999994543,-10,0,252
0.18562500000007276,-14,0,258
0.1862500000002001,-10,0,264
0.18687500000032742,-6,-4,256
0.1875,-10,0,244
0.18812500000012733,-8,0,260
0.18875000000025466,-12,6,272
0.18937499999992724,0,0,260
0.19000000000005457,0,-14,230
0.1906250000001819,0,0,262
0.19125000000030923,-12,10,262
0.1918749999999818,-6,0,246
0.19250000000010914,-12,-8,248
0.19312500000023647,-8,0,250
0.19374999999990905,-6,0,252
0.19437500000003638,-8,-14,270
0.1950000000001637,-8,0,246
0.19562500000029104,-20,-12,236
0.19624999999996362,-6,0,268
0.19687500000009095,4,0,274
0.19750000000021828,-8,0,242
0.1981250000003456,-8,12,240
0.1987500000000182,-6,0,272
0.19937500000014552,0,0,256
0.20000000000027285,0,-12,238
0.20062499999994543,-8,0,258
0.20125000000007276,-24,6,242
0.2018750000002001,-10,0,256
0.20250000000032742,0,-18,280
0.203125,-6,0,254
0.20375000000012733,-10,4,252
0.20437500000025466,-8,0,264
0.20499999999992724,0,0,258
0.20562500000005457,0,-14,244
0.2062500000001819,-6,0,262
0.20687500000030923,-22,12,250
0.2074999999999818,-8,2,254
0.20812500000010914,4,-18,238
0.20875000000023647,-8,0,266
0.20937499999990905,-14,12,268
0.21000000000003638,-6,0,246
0.2106250000001637,-10,-10,248
0.21125000000029104,-8,8,264
0.21187499999996362,-10,0,256
0.21250000000009095,-10,-10,240
0.21312500000021828,0,0,256
0.2137500000003456,0,-14,256
0.2143750000000182,0,-4,258
0.21500000000014552,-18,-8,240
0.21562500000027285,-8,0,256
0.21624999999994543,8,-18,232
0.21687500000007276,-8,-6,256
0.2175000000002001,-10,8,262
0.21812500000032742,-10,0,246
0.21875,-12,-4,250
0.21937500000012733,-6,6,270
0.22000000000025466,0,0,262
0.22062499999992724,-8,0,240
0.22125000000005457,-4,0,248
0.2218750000001819,-12,0,268
0.22250000000030923,-6,-4,256
0.2231249999999818,-26,4,242
0.22375000000010914,-6,-8,262
0.22437500000023647,0,0,284
0.22499999999990905,-8,0,260
0.22562500000003638,-16,8,268
0.2262500000001637,-12,0,256
0.22687500000029104,-4,-8,248
0.22749999999996362,-6,2,264
0.22812500000009095,-6,2,260
0.22875000000021828,-12,0,252
0.2293750000003456,-6,-4,258
0.2300000000000182,-14,8,268
0.23062500000014552,-6,0,258
0.23125000000027285,-22,-10,230
0.23187499999994543,-8,0,264
0.23250000000007276,0,12,270
0.2331250000002001,-14,0,248
0.23375000000032742,-8,-6,250
0.234375,-4,0,256
0.23500000000012733,-10,4,258
0.23562500000025466,0,-12,256
0.23624999999992724,-10,0,252
0.23687500000005457,-8,-8,232
0.2375000000001819,-10,2,268
0.23812500000030923,6,12,274
0.2387499999999818,-14,2,246
0.23937500000010914,-10,-10,256
0.24000000000023647,-6,0,256
0.24062499999990905,-8,0,248
0.24125000000003638,-16,4,278
0.2418750000001637,-12,0,252
0.24250000000029104,0,-8,230
0.24312499999996362,-8,0,258
0.24375000000009095,-16,4,264
0.24437500000021828,-6,0,246
0.2450000000003456,-4,0,256
0.2456250000000182,-12,-4,254
0.24625000000014552,-8,0,260
0.24687500000027285,-12,12,268
0.24749999999994543,-10,0,256
0.24812500000007276,10,-22,262
0.2487500000002001,-6,-4,254
0.24937500000032742,-14,6,270
0.25,-10,-4,258
0.25062500000012733,-6,-8,254
0.25125000000025466,-10,4,250
0.25187499999992724,-4,0,256
0.25250000000005457,0,-12,240
0.2531250000001819,-8,-4,252
0.25375000000030923,-12,2,278
0.2543749999999818,-8,0,256
0.25500000000010914,0,-10,242
0.25562500000023647,-4,-4,252
0.25624999999990905,2,2,274
0.2568750000000364,-6,0,250
0.2575000000001637,-16,12,270
0.25812500000029104,-16,4,254
0.2587499999999636,-10,0,250
0.25937500000009095,-8,0,264
0.2600000000002183,-4,0,254
0.2606250000003456,2,-18,244
0.2612500000000182,-8,2,252
0.2618750000001455,-14,10,266
0.26250000000027285,-6,0,258
0.26312499999994543,-26,4,244
0.26375000000007276,-10,0,252
0.2643750000002001,4,-20,280
0.2650000000003274,-4,2,264
0.265625,0,8,270
0.26625000000012733,-10,0,244
0.26687500000025466,-10,6,246
0.26749999999992724,-6,-4,268
0.26812500000005457,0,-4,254
0.2687500000001819,-8,0,246
0.26937500000030923,0,0,254
0.2699999999999818,0,-8,264
0.27062500000010914,-8,0,248
0.27125000000023647,-18,-12,252
0.27187499999990905,-6,-6,262
0.2725000000000364,8,-22,254
0.2731250000001637,-8,-4,252
0.27375000000029104,-14,12,260
0.2743749999999636,-10,0,240
0.27500000000009095,-6,-12,250
0.2756250000002183,-4,0,252
0.2762500000003456,0,2,248
0.2768750000000182,0,-12,266
0.2775000000001455,-8,0,252
0.27812500000027285,-22,-8,242
0.27874999999994543,-8,-4,268
0.27937500000007276,4,14,274
0.2800000000002001,-4,0,240
0.2806250000003274,-10,-6,248
0.28125,-8,0,256
0.28187500000012733,-8,0,256
0.28250000000025466,0,-14,242
0.28312499999992724,-10,0,262
0.28375000000005457,-24,6,242
0.2843750000001819,-10,2,250
0.28500000000030923,0,-8,278
0.2856249999999818,-8,0,252
0.28625000000010914,-10,10,244
0.28687500000023647,-12,0,270
0.28749999999990905,0,0,256
0.2881250000000364,-6,-6,236
0.2887500000001637,-6,-4,262
0.28937500000029104,-24,4,244
0.2899999999999636,-6,0,254
0.29062500000009095,6,-24,282
0.2912500000002183,-4,0,254
0.2918750000003456,-10,6,246
0.2925000000000182,-4,-6,266
0.2931250000001455,0,-6,252
0.29375000000027285,-6,0,246
0.29437499999994543,-8,0,268
0.29500000000007276,2,-10,268
0.2956250000002001,-8,0,250
0.2962500000003274,-22,-8,244
0.296875,0,0,262
0.29750000000012733,0,0,278
0.29812500000025466,-8,-4,256
0.29874999999992724,-8,6,258
0.29937500000005457,-4,-2,240
0.3000000000001819,-8,-4,256
0.30062500000030923,0,0,268
0.3012499999999818,0,0,252
0.30187500000010914,-6,-10,238
0.30250000000023647,-8,0,264
0.30312499999990905,-10,0,280
0.3037500000000364,0,0,256
0.3043750000001637,4,-20,236
0.30500000000029104,-10,0,262
0.3056249999999636,0,8,270
0.30625000000009095,-10,0,254
0.3068750000002183,-18,8,270
0.3075000000003456,-12,0,258
0.3081250000000182,0,-4,256
0.3087500000001455,0,0,248
0.30937500000027285,0,0,254
0.30999999999994543,0,-12,266
0.31062500000007276,-12,2,250
0.3112500000002001,-26,-8,232
0.3118750000003274,-14,0,264
0.3125,-10,6,248
0.31312500000012733,-8,0,260
0.31375000000025466,-4,-4,254
0.31437499999992724,-8,-6,240
0.31500000000005457,-6,0,260
0.3156250000001819,-8,6,258
0.31625000000030923,-4,0,256
0.3168749999999818,6,-18,226
0.31750000000010914,0,0,252
0.31812500000023647,0,14,274
0.31874999999990905,-4,0,248
0.3193750000000364,-8,-10,248
0.3200000000001637,-12,4,246
0.32062500000029104,-4,0,254
0.3212499999999636,2,-12,260
0.32187500000009095,-6,0,252
0.3225000000002183,-22,0,246
0.3231250000003456,-6,0,266
0.3237500000000182,0,0,272
0.3243750000001455,-6,0,240
0.32500000000027285,-12,8,242
0.32562499999994543,-8,0,270
0.32625000000007276,-6,-2,254
0.3268750000002001,-6,-4,244
0.3275000000003274,-6,0,262
0.328125,-24,10,236
