czas [s],X,Y,Z
0.0,-8,-18,228
0.0006249999999852207,-12,-20,268
0.0012499999999988631,-10,-14,248
0.0018749999999840838,-8,-10,230
0.0024999999999977263,0,-16,262
0.003124999999982947,-14,-16,248
0.0037499999999965894,2,-26,230
0.00437499999998181,-4,-18,256
0.0049999999999954525,-14,-16,254
0.005624999999980673,0,-24,236
0.006249999999994316,-4,-14,246
0.006875000000007958,-8,-12,250
0.007499999999993179,0,-22,244
0.008125000000006821,6,-36,232
0.008749999999992042,-4,-18,248
0.009375000000005684,-16,-6,262
0.009999999999990905,-4,0,236
0.010625000000004547,-6,-22,236
0.011249999999989768,0,-16,234
0.01187500000000341,-22,0,260
0.012499999999988631,0,-14,248
0.013125000000002274,0,-28,216
0.013749999999987494,-4,-8,250
0.014375000000001137,-8,-6,262
0.014999999999986358,-6,-8,242
0.015625,4,-20,246
0.01624999999998522,-10,-8,256
0.016874999999998863,0,-20,262
0.017499999999984084,2,-18,240
0.018124999999997726,-10,-10,260
0.018749999999982947,0,-32,240
0.01937499999999659,0,-14,244
0.01999999999998181,0,-16,242
0.020624999999995453,0,-26,232
0.021249999999980673,0,0,236
0.021874999999994316,-4,0,260
0.022500000000007958,0,-16,246
0.02312499999999318,4,-24,232
0.02375000000000682,-10,-8,262
0.024374999999992042,-16,-4,256
0.025000000000005684,2,-20,248
0.025624999999990905,-4,-20,232
0.026250000000004547,-18,-18,270
0.026874999999989768,0,-16,258
0.02750000000000341,0,-26,224
0.02812499999998863,-8,-20,256
0.028750000000002274,-12,-8,256
0.029374999999987494,0,-20,230
0.030000000000001137,4,-40,238
0.030624999999986358,-12,-10,256
0.03125,-12,-8,260
0.03187499999998522,8,-32,246
0.03249999999999886,-12,-8,252
0.033124999999984084,0,-16,240
0.033749999999997726,2,-34,234
0.03437499999998295,-12,0,258
0.03499999999999659,-12,-6,266
0.03562499999998181,-8,-14,228
0.03624999999999545,0,-14,234
0.03687499999998067,-14,-16,242
0.037499999999994316,-8,2,252
0.03812500000000796,-6,-10,250
0.03874999999999318,0,-30,226
0.03937500000000682,-6,-8,250
0.03999999999999204,0,-12,246
0.040625000000005684,-4,-16,246
0.041249999999990905,4,-26,230
0.04187500000000455,-12,-8,248
0.04249999999998977,-14,0,258
0.04312500000000341,-12,-16,250
0.04374999999998863,0,-28,234
0.044375000000002274,2,-38,238
0.044999999999987494,-10,-12,256
0.04562500000000114,-12,-12,252
